"PASSENGERS","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","YEAR",
0.00,"5X","United Parcel Service",11775,"FSD","Sioux Falls, SD","SD",14691,"SBD","San Bernardino, CA","CA",2019,
0.00,"5X","United Parcel Service",11775,"FSD","Sioux Falls, SD","SD",14730,"SDF","Louisville, KY","KY",2019,
0.00,"5X","United Parcel Service",14730,"SDF","Louisville, KY","KY",11775,"FSD","Sioux Falls, SD","SD",2019,
0.00,"EM","Empire Airlines Inc.",10558,"BFF","Scottsbluff, NE","NE",14457,"RAP","Rapid City, SD","SD",2019,
0.00,"EM","Empire Airlines Inc.",11775,"FSD","Sioux Falls, SD","SD",10558,"BFF","Scottsbluff, NE","NE",2019,
0.00,"EM","Empire Airlines Inc.",11775,"FSD","Sioux Falls, SD","SD",14457,"RAP","Rapid City, SD","SD",2019,
0.00,"EM","Empire Airlines Inc.",14457,"RAP","Rapid City, SD","SD",11775,"FSD","Sioux Falls, SD","SD",2019,
0.00,"AX","Trans States Airlines",14457,"RAP","Rapid City, SD","SD",12992,"LIT","Little Rock, AR","AR",2019,
0.00,"AX","Trans States Airlines",15412,"TYS","Knoxville, TN","TN",14457,"RAP","Rapid City, SD","SD",2019,
0.00,"UA","United Air Lines Inc.",11618,"EWR","Newark, NJ","NJ",14457,"RAP","Rapid City, SD","SD",2019,
0.00,"UA","United Air Lines Inc.",13198,"MCI","Kansas City, MO","MO",14457,"RAP","Rapid City, SD","SD",2019,
0.00,"UA","United Air Lines Inc.",13930,"ORD","Chicago, IL","IL",11775,"FSD","Sioux Falls, SD","SD",2019,
0.00,"5X","United Parcel Service",11775,"FSD","Sioux Falls, SD","SD",13891,"ONT","Ontario, CA","CA",2019,
0.00,"5X","United Parcel Service",11775,"FSD","Sioux Falls, SD","SD",14730,"SDF","Louisville, KY","KY",2019,
0.00,"5X","United Parcel Service",13487,"MSP","Minneapolis, MN","MN",11775,"FSD","Sioux Falls, SD","SD",2019,
0.00,"5X","United Parcel Service",14730,"SDF","Louisville, KY","KY",11775,"FSD","Sioux Falls, SD","SD",2019,
0.00,"UA","United Air Lines Inc.",11618,"EWR","Newark, NJ","NJ",11775,"FSD","Sioux Falls, SD","SD",2019,
0.00,"UA","United Air Lines Inc.",13930,"ORD","Chicago, IL","IL",11775,"FSD","Sioux Falls, SD","SD",2019,
0.00,"UA","United Air Lines Inc.",14057,"PDX","Portland, OR","OR",14457,"RAP","Rapid City, SD","SD",2019,
0.00,"EM","Empire Airlines Inc.",15048,"SUX","Sioux City, IA","IA",11775,"FSD","Sioux Falls, SD","SD",2019,
0.00,"EM","Empire Airlines Inc.",11775,"FSD","Sioux Falls, SD","SD",14457,"RAP","Rapid City, SD","SD",2019,
0.00,"EM","Empire Airlines Inc.",11775,"FSD","Sioux Falls, SD","SD",10558,"BFF","Scottsbluff, NE","NE",2019,
0.00,"EM","Empire Airlines Inc.",14457,"RAP","Rapid City, SD","SD",11775,"FSD","Sioux Falls, SD","SD",2019,
0.00,"EM","Empire Airlines Inc.",11775,"FSD","Sioux Falls, SD","SD",14457,"RAP","Rapid City, SD","SD",2019,
0.00,"EM","Empire Airlines Inc.",14457,"RAP","Rapid City, SD","SD",11122,"CPR","Casper, WY","WY",2019,
0.00,"EM","Empire Airlines Inc.",14457,"RAP","Rapid City, SD","SD",11775,"FSD","Sioux Falls, SD","SD",2019,
